	V_gene	mutability
498	IGHV1-46 n=47	0.01
499	IGHV1-46 n=47	0.01
500	IGHV1-46 n=47	0.05
501	IGHV1-46 n=47	0.01
502	IGHV1-46 n=47	0.01
503	IGHV1-46 n=47	0.01
504	IGHV1-46 n=47	0.01
505	IGHV1-46 n=47	0.01
506	IGHV1-46 n=47	0.02
507	IGHV1-46 n=47	0.04
508	IGHV1-46 n=47	0.02
509	IGHV1-46 n=47	0.09
510	IGHV1-46 n=47	0.01
511	IGHV1-46 n=47	0.05
512	IGHV1-46 n=47	0.01
513	IGHV1-46 n=47	0.01
514	IGHV1-46 n=47	0.03
515	IGHV1-46 n=47	0.05
516	IGHV1-46 n=47	0.08
517	IGHV1-46 n=47	0.03
518	IGHV1-46 n=47	0.01
519	IGHV1-46 n=47	0.01
520	IGHV1-46 n=47	0.07
521	IGHV1-46 n=47	0.03
522	IGHV1-46 n=47	0.01
523	IGHV1-46 n=47	0.03
524	IGHV1-46 n=47	0.03
525	IGHV1-46 n=47	0.0
526	IGHV1-46 n=47	0.01
527	IGHV1-46 n=47	0.05
528	IGHV1-46 n=47	0.06
529	IGHV1-46 n=47	0.02
530	IGHV1-46 n=47	0.02
531	IGHV1-46 n=47	0.0
532	IGHV1-46 n=47	0.01
533	IGHV1-46 n=47	0.03
534	IGHV1-46 n=47	0.02
535	IGHV1-46 n=47	0.11
536	IGHV1-46 n=47	0.04
537	IGHV1-46 n=47	0.01
538	IGHV1-46 n=47	0.01
539	IGHV1-46 n=47	0.01
540	IGHV1-46 n=47	0.11
541	IGHV1-46 n=47	0.01
542	IGHV1-46 n=47	0.04
543	IGHV1-46 n=47	0.06
544	IGHV1-46 n=47	0.06
545	IGHV1-69 n=45	0.04
546	IGHV1-69 n=45	0.01
547	IGHV1-69 n=45	0.01
548	IGHV1-69 n=45	0.08
549	IGHV1-69 n=45	0.0
550	IGHV1-69 n=45	0.01
551	IGHV1-69 n=45	0.01
552	IGHV1-69 n=45	0.01
553	IGHV1-69 n=45	0.01
554	IGHV1-69 n=45	0.0
555	IGHV1-69 n=45	0.0
556	IGHV1-69 n=45	0.01
557	IGHV1-69 n=45	0.04
558	IGHV1-69 n=45	0.01
559	IGHV1-69 n=45	0.01
560	IGHV1-69 n=45	0.01
561	IGHV1-69 n=45	0.0
562	IGHV1-69 n=45	0.02
563	IGHV1-69 n=45	0.02
564	IGHV1-69 n=45	0.01
565	IGHV1-69 n=45	0.02
566	IGHV1-69 n=45	0.01
567	IGHV1-69 n=45	0.0
568	IGHV1-69 n=45	0.01
569	IGHV1-69 n=45	0.01
570	IGHV1-69 n=45	0.0
571	IGHV1-69 n=45	0.0
572	IGHV1-69 n=45	0.01
573	IGHV1-69 n=45	0.01
574	IGHV1-69 n=45	0.0
575	IGHV1-69 n=45	0.01
576	IGHV1-69 n=45	0.01
577	IGHV1-69 n=45	0.0
578	IGHV1-69 n=45	0.01
579	IGHV1-69 n=45	0.04
580	IGHV1-69 n=45	0.02
581	IGHV1-69 n=45	0.01
582	IGHV1-69 n=45	0.02
583	IGHV1-69 n=45	0.0
584	IGHV1-69 n=45	0.02
585	IGHV1-69 n=45	0.01
586	IGHV1-69 n=45	0.01
587	IGHV1-69 n=45	0.0
588	IGHV1-69 n=45	0.08
589	IGHV1-69 n=45	0.01
590	IGHV3-21 n=37	0.01
591	IGHV3-21 n=37	0.01
592	IGHV3-21 n=37	0.0
593	IGHV3-21 n=37	0.0
594	IGHV3-21 n=37	0.02
595	IGHV3-21 n=37	0.0
596	IGHV3-21 n=37	0.0
597	IGHV3-21 n=37	0.01
598	IGHV3-21 n=37	0.04
599	IGHV3-21 n=37	0.01
600	IGHV3-21 n=37	0.0
601	IGHV3-21 n=37	0.0
602	IGHV3-21 n=37	0.0
603	IGHV3-21 n=37	0.0
604	IGHV3-21 n=37	0.02
605	IGHV3-21 n=37	0.01
606	IGHV3-21 n=37	0.01
607	IGHV3-21 n=37	0.12
608	IGHV3-21 n=37	0.01
609	IGHV3-21 n=37	0.0
610	IGHV3-21 n=37	0.01
611	IGHV3-21 n=37	0.0
612	IGHV3-21 n=37	0.0
613	IGHV3-21 n=37	0.02
614	IGHV3-21 n=37	0.07
615	IGHV3-21 n=37	0.0
616	IGHV3-21 n=37	0.0
617	IGHV3-21 n=37	0.01
618	IGHV3-21 n=37	0.01
619	IGHV3-21 n=37	0.01
620	IGHV3-21 n=37	0.0
621	IGHV3-21 n=37	0.01
622	IGHV3-21 n=37	0.0
623	IGHV3-21 n=37	0.02
624	IGHV3-21 n=37	0.0
625	IGHV3-21 n=37	0.01
626	IGHV3-21 n=37	0.0
